sample_ID,rna_yield_m1,rna_yield_m2,absorbance_m1,absorbance_m2
39,1.00,1.80,1.45,1.62
40,1.00,2.70,1.91,1.29
41,1.40,1.70,1.91,1.89
42,2.50,2.30,1.27,1.26
47,0.70,1.80,3.41,1.71
48,0.40,1.00,2.61,1.73
49,0.80,19.20,2.13,1.51
50,0.50,0.80,3.37,2.09
89,1.30,2.30,1.77,2.37
90,1.10,1.00,2.05,1.64
91,4.80,5.00,2.08,2.07
92,2.60,3.00,1.89,1.66
97,1.42,0.40,1.42,1.45
98,1.80,2.40,1.96,1.55
99,1.70,1.20,1.58,1.80
100,1.40,0.90,1.36,1.67
139,1.90,2.90,0.94,1.13
140,2.00,2.70,1.97,1.80
141,1.60,2.60,1.87,2.26
142,1.00,1.70,1.55,1.48
147,3.40,1.50,1.35,1.66
148,3.70,1.80,1.59,1.75
149,1.10,2.00,1.89,1.57
150,2.30,0.60,1.32,1.39
Blank,0.50,0.50,0.96,1.04
