sample_id,aluminum,calcium,iron,magnesium,manganese,phosphorus,sulfur,woodchip_mass,initial_p_treatment,sample_or_standard,replicate
1,0.004,0.338,0.016,0.041,0,525.831,0.095,,1000,stock,
2,0.002,0.497,0.001,0.048,0,106.405,0.027,,100,standard,
3,-0.003,0.12,-0.001,0.005,0,55.844,0.015,,50,standard,
4,-0.003,0.139,-0.002,0.004,0,28.672,0.009,,25,standard,
5,-0.004,-0.003,-0.003,-0.001,0,0.036,0,,0,standard,
6,0.058,17.343,0.04,2.351,0.001,93.958,0.596,6.007,100,sample,A
7,0.021,18.899,0.019,2.564,0,95.283,0.977,6.007,100,sample,B
8,0.023,19.075,0.021,2.5,0,94.427,0.567,6.087,100,sample,C
9,0.038,13.914,0.028,1.948,0,47,0.972,6.044,50,sample,A
10,0.035,13.546,0.029,1.849,0,49.279,0.594,6.005,50,sample,B
11,0.038,13.71,0.024,1.787,0,47.671,0.601,6.094,50,sample,C
12,0.064,10.329,0.042,1.406,0,21.455,0.813,6.041,25,sample,A
13,0.088,9.355,0.043,1.3,0,22.327,0.519,6.035,25,sample,B
14,0.113,10.063,0.068,1.33,0,22.381,0.689,6.073,25,sample,C
15,0.069,6.46,0.04,0.9,0.001,0.045,0.767,6.081,0,sample,A
16,0.087,7.074,0.039,0.996,0.001,0.039,0.836,6.02,0,sample,B
17,0.074,7.257,0.034,0.999,0,0.041,0.768,6.069,0,sample,C
